EntryID;DominantGloss.Percent;NondominantGloss.Percent;AdditionalGloss.Number;;;;;;;;;;;;;;;;
government;government;capitol (4.0); state (4.0);government (2);;;;;;;;;;;;;;;
guess_1;guess;miss (34.5); estimate (3.4); assume (3.4);guess (7); miss (4); assume (1); estimate (2);;;;;;;;;;;
hammer;hammer;judge (33.3); court (3.3);hammer (3); judge (1);;;;;;;;;;;;;;
horrible;horrible;awful (34.6); terrible (19.2); tragic (3.8);terrible (5); horrible (1); awful (1);;;;;;;;;;;;
hotdog;hotdog;sausage (36.0);sausage (5); baloney (2); hotdog (2);;;;;;;;;;;;;;
humble;humble;humility (1); modest (1);;;;;;;;;;;;;;;;
hungry;hungry;hunger (3.3); wish (3.3);wish (5); desire (1); starve (1); hungry (1);;;;;;;;;;;;
husband;husband;hubby (1);;;;;;;;;;;;;;;;;
ignore;ignore;neglect (3.8);neglect (1); dismiss (1); don't care (1);;;;;;;;;;;;;;
imagine;imagine;imagination (36.0); imaginary (8.0); ideas (8.0); spew ideas (4.0);imagination (2); imagine (1); paranoid (1); hallucination (1);;;;;;;;;;
impact;impact;coincidence (18.5); hit (a person) (14.8); suddenly/sudden hit (14.8); jackpot (hit the jackpot) (7.4); randomly (3.7); happenstance (3.7); strike (3.7); one time thing (3.7); didn't plan to (3.7);strike (1); by chance (1); impact (1); luck (1); random (1); out of the blue (1); hit (1); suddenly (1); just happened (1)
israel;israel;;;;;;;;;;;;;;;;;;
italy;italy;brazil (4.0);shape classifier;;;;;;;;;;;;;;;;
jigsaw_puzzle;jigsaw_puzzle;pager (6.7); doubt (6.7); unsure  (6.7);;;;;;;;;;;;;;;
judge;judge;court (8.0);court (3); judge (1); judgment (1); judgmental (1);;;;;;;;;;;;;
kneel;kneel (93.3); kneeling (6.7);knees (1); protest (church) (1);;;;;;;;;;;;;;;
lawn mower;lawn mower;stroller (12.0); mow; mowing (24.0); cart (12.0); mow grass/lawn/ yard (16.0);cart (2); pram (1); mow/ mowing (2); cut grass (2);;;;;;;;;
lesson;lesson;list (42.3); course (11.5);lesson (2); course (1); recipe (1); list (1); unit (1);;;;;;;;;;;
lobster;lobster;crab (38.5);crab (3);;;;;;;;;;;;;;;;
long_line;long line;line up (3.7); stuck in a long line (3.7);queue (1);;;;;;;;;;;;;;;
mail;mail;letter (7.4); stamp (7.4);letter (6); stamp (2); post (1);;;;;;;;;;;;;
mascara;mascara;eyelash(es) (7.7); eyeliner (3.8);eyelash (1); mascara (1);;;;;;;;;;;;;;
mean_1;mean;cruel (6); cruelty (1);;;;;;;;;;;;;;;;
mechanic_1;mechanic;plumber (20.0); maintenance (8.0);;;;;;;;;;;;;;;;
mechanic_2;mechanic;plumbing (25.9); wrench (14.8); plumber (11.1); tool (7.4); repair (3.7);;;;;;;;;;;;;
medicine;medicine (93.3); medication (3.3);medical (3.3);poison (5); medical (3); drug (1); drugs (1); Rx (1); medicinal (1);;;;;;;;;;
metal;metal;steel (3.7); garbage (3.7); trash (3.7);steel (2); grey (1); iron (1);;;;;;;;;;;;
mime;mime;motion (9.5); pack (4.8); scrapping (4.8);;;;;;;;;;;;;;;
mouse;mouse;mice (1); fake (1); false (1);;;;;;;;;;;;;;;
movie;movie (96.3); movies (3.7);film (2); cheese (1);;;;;;;;;;;;;;;
museum;museum;McDonalds (31.0); Montana (3.4);;;;;;;;;;;;;;;;
napkin;napkin (91.3); napkins (4.3);cued speech (4.3);cued speech (1);;;;;;;;;;;;;;;
nephew;nephew;niece (3.45); boy with sign name M (3.45);nephew (1); neurology (1);;;;;;;;;;;;;;
neutral;neutral;noun (8.3);;;;;;;;;;;;;;;;;
newspaper;newspaper;print (3.7);print (2); printer (1); publish (1);;;;;;;;;;;;;;
off_the_point;off the point;random (3.7)deviant (3.7)off topic (3.7)irrelevant (3.7);off the point (1); off the topic (2); off the subject (2); deviate (1); off base (1)unexpected (1); off the track (1);;;;;;;;;;;
onion;onion (92.0); onions (8.0);;;;;;;;;;;;;;;;;
order_2;order;command (16.7);command (8); order (3);;;;;;;;;;;;;;;
owe;owe;debt (10.0); due (10.0); afford (6.7); billing (3.3);owe (4); debt (5); due (5); afford (1); affordable (1); bill(s) (3);;;;;;;;
pants;pants (93.5); pant (6.5);slack (3.2);slacks (1); trouser (1);;;;;;;;;;;;;;
patient_3;patient;bear (18.5); patience (14.8); tolerance (7.4); tolerate (7.4); suffer; suffering (7.4); endure (3.7);tolerate (2); patient (1); patience (1); suck it up (1); put up with (1); bear (1);;;;;
penny;penny;cent (34.6);;;;;;;;;;;;;;;;;
perfect;perfect;exact (7.7); exactly (3.8); precisely (3.8); perfection (3.8);precise (2); exactly (1); exact (2);;;;;;;;;;;
pile;pile;large amount (16.7); a lot (12.5);  bunch (8.33); plenty of (4.17); bountiful (4.17); overflow (4.17); overloaded (4.17); big and round (4.17); balloon (4.17); more than enough (4.17);plenty (overflowing) for food on plate (1); overflowed (1); half dome (1); bunch of(1); fluffy (1);;;
pipe;pipe;smoke pipe (4.55); iphone (4.55); drink alcohol (4.55);popeye (1);;;;;;;;;;;;;;
pool_game;pool (game);billiards (15.4);billiards (2);;;;;;;;;;;;;;;;
pop;pop (a balloon);chime the bell (4.3);pop a pin in a cushion (4.3); beats on the drum (4.3);pop the idea; deflate the idea (1); burst a bubble (1);;;;;;;;;;;;
potato;potato (80.0); potatoes (12.0);chips (4.0); potato chip (4.0);chips (1); potato (1);;;;;;;;;;;;;
power;power;powerful (6.9);powerful (2);;;;;;;;;;;;;;;;
prefer;prefer;younger (36.0); rather (8.0); better (4.0); healthier (4.0); chief/CEO (4.0);;;;;;;;;;;;;
problem_1;problem (90.0); problems (10.0);difficult (1); difficulty (1); issue(s) (2); puzzle (1);;;;;;;;;;;;;
psychologist;psychologist;shrink (4.0); psychology (4.0); psychical (4.0);;;;;;;;;;;;;;;
really;really?;sure? (4.0); true? (4.0);sure (2); really?  (1); are you kidding me? (1);;;;;;;;;;;;;
responsibility;responsibility;responsible (28.0); liability (4.0);obligation (1); duty (1); responsibility (1); accountable (1);;;;;;;;;;;;
revenge;revenge;avenge (1); prank (1); retaliate (1);;;;;;;;;;;;;;;
rhino;rhino;horn (1);;;;;;;;;;;;;;;;;
rollerblade;rollerblade (48.1); rollerblading (33.3);rollerblades (14.8); skate (3.7);rollerblading (2);;;;;;;;;;;;;;
rude;rude;blank (4.17);;;;;;;;;;;;;;;;;
run;run (92.0); running (8.0);jog (1);;;;;;;;;;;;;;;;
russia;russia;syrup (3.7); maple (3.7); honey (3.7);Russia (1); syrup (1);;;;;;;;;;;;;
saw;saw;pump (4.8); stab (4.8);pump (1); hacksaw (1); sawing (1); poke with stick (1);;;;;;;;;;;;
scan;scan (40.0); scanning (3.3);xerox (30.0); (photo)copy; copy machine (23.3);xerox (4); copy machine (6); scanner (3); scan (6);;;;;;;;;;
screwdriver;screwdriver;screw (15.4);;;;;;;;;;;;;;;;;
scroll_down;scroll down;drag (11.5); mark all with same answer; select all (11.5); scratch (7.7); click click click (3.8); copy and paste document from computer (3.8); sew straight down (3.8); test (3.8);;;;;;;;;;
set_up;set up;establish (20.0); club (8.0); founder (4.); foundation (4.0); found (4.0); founded (4.0); establishment (4.0);establish (5); established (1);  set up (3); founded (2); found (1);;;;;;
shave;shave;electric shaver or shaving machine (31.3); CL: shave with an electric razor (12.5); CL:shave beard with a shaving machine (6.3); CL: a person shaving their face (6.3); shave frequently (6.3);;;;;;;;;;;;;
shiny;shiny;shine (40.7); shining (7.4);shiny (1); golden name (1); glow (1); glowing (1); shine (2); sparkling (1);;;;;;;;;;
shirt;shirt;t-shirt (23.3); sweater (3.3); top (as in piece of cloth) (3.3); blouse (3.3);sweater (3); blouse (1);;;;;;;;;;;;
shocked;shocked;shock (48.1);stunned (2); dumbfounded (1); shock (1); shocking (1);;;;;;;;;;;;;
shoes;shoes (92.6); shoe (3.7);;;;;;;;;;;;;;;;;
silver;silver;sound (11.5);;;;;;;;;;;;;;;;;
smart;smart;clever (11.1); intelligent (7.4); brilliant (3.7);intelligent (4); intelligence (2); clever (2); brilliant (2);;;;;;;;;;;
smoking;smoking (66.7); smoke (33.3);smoking (1);;;;;;;;;;;;;;;;
socks;socks (88.0); sock (12.0);;;;;;;;;;;;;;;;;
soup;soup;spoon (35.5;soup (4); cereal (2);;;;;;;;;;;;;;;
south;south;none (3.3);;;;;;;;;;;;;;;;;
spaghetti;spaghetti;pasta (29.0);pasta (6); spaghetti (1); noodles (1);;;;;;;;;;;;;;
speakers;(light) flashing (on and off (12.5); lights blinking (8.33); boom box (8.33); music booming / blasting (8.33); loud noise (8.33); good sound (4.17); flickering lights (4.17); flash (4.17);music booming (1); flashing lights from behind (1);;;;;;;;;
squirrel;squirrel;chipmunk (1);;;;;;;;;;;;;;;;;
stamp;stamp (66.7); stamps (19.0);fun/have fun! (9.5); postage (4.8);;;;;;;;;;;;;;;
stars;stars (45.2); star (54.8);;;;;;;;;;;;;;;;;
start;start;begin (16.0);start (2); begin (6);;;;;;;;;;;;;;;
stethoscope;stethoscope;doctor (10.5);;;;;;;;;;;;;;;;;
student;student;learner (25.9);student (2); learner (2);;;;;;;;;;;;;;;
stupid_1;stupid;ignorant (13.3); dumb (10.0);stupid (3); ignorant (1); dumb (1); no idea (1);;;;;;;;;;;;
stupid_2;stupid;pea-brain (20.0); nitwit (16.7); moron (10.0); goofy (10.0); dunce (3.3); idiot (3.3); square-headed (3.3); ignorant (3.3); duh (3.3);stupid (3); dumb (2); moron (1); pea-brained (2); dimwit (1); imbecile (1); shouldn't-have-done-that (1);;
sure;sure;true (16.7); really (3.3); certainly (3.3);true (4); really (3); sure (3);;;;;;;;;;;;
surf;surf (54.8); surfing (29.0);skateboard (9.7); ride (3.2); surfer (3.2);;;;;;;;;;;;;;
sushi;sushi;nurse (19.2);food (1);;;;;;;;;;;;;;;;
sweater;sweater;blouse (15.4); t-shirt / shirt (15.4); top (7.7); woman (7.7); sweatshirt (3.8);shirt (3); sweatshirt (2); blouse (2); female (1);;;;;;;;;
